kali-susp:Candidate [className=org.apache.commons.lang3.math.NumberUtils, methodName=org.apache.commons.lang3.math.NumberUtils{createNumber(Ljava/lang/String;)Ljava/lang/Number; 0.0, lineNumber=588, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.lang3.Range, methodName=org.apache.commons.lang3.Range{elementCompareTo(Ljava/lang/Object;)I 0.0, lineNumber=258, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.Range, methodName=org.apache.commons.lang3.Range{elementCompareTo(Ljava/lang/Object;)I 0.0, lineNumber=254, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.Range, methodName=org.apache.commons.lang3.Range{elementBefore(Ljava/lang/Object;)Z 0.0, lineNumber=221, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.Range, methodName=org.apache.commons.lang3.Range{elementAfter(Ljava/lang/Object;)Z 0.0, lineNumber=237, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.Range, methodName=org.apache.commons.lang3.Range{containsRange(Lorg/apache/commons/lang3/Range;)Z 0.0, lineNumber=282, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.Range, methodName=org.apache.commons.lang3.Range{equals(Ljava/lang/Object;)Z 0.0, lineNumber=323, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.Range, methodName=org.apache.commons.lang3.Range{equals(Ljava/lang/Object;)Z 0.0, lineNumber=321, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.Range, methodName=org.apache.commons.lang3.Range{overlapsRange(Lorg/apache/commons/lang3/Range;)Z 0.0, lineNumber=300, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.Range, methodName=org.apache.commons.lang3.Range{toString()Ljava/lang/String; 0.0, lineNumber=361, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.Range, methodName=org.apache.commons.lang3.Range{contains(Ljava/lang/Object;)Z 0.0, lineNumber=206, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringUtils, methodName=org.apache.commons.lang3.StringUtils{isAlphaSpace(Ljava/lang/CharSequence;)Z 0.0, lineNumber=5185, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringUtils, methodName=org.apache.commons.lang3.StringUtils{isAlphaSpace(Ljava/lang/CharSequence;)Z 0.0, lineNumber=5180, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringUtils, methodName=org.apache.commons.lang3.StringUtils{isAlpha(Ljava/lang/CharSequence;)Z 0.0, lineNumber=5150, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringUtils, methodName=org.apache.commons.lang3.StringUtils{isAlpha(Ljava/lang/CharSequence;)Z 0.0, lineNumber=5145, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringUtils, methodName=org.apache.commons.lang3.StringUtils{isAlphanumeric(Ljava/lang/CharSequence;)Z 0.0, lineNumber=5219, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringUtils, methodName=org.apache.commons.lang3.StringUtils{isAlphanumeric(Ljava/lang/CharSequence;)Z 0.0, lineNumber=5214, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringUtils, methodName=org.apache.commons.lang3.StringUtils{isAsciiPrintable(Ljava/lang/CharSequence;)Z 0.0, lineNumber=5293, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringUtils, methodName=org.apache.commons.lang3.StringUtils{isAsciiPrintable(Ljava/lang/CharSequence;)Z 0.0, lineNumber=5288, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringUtils, methodName=org.apache.commons.lang3.StringUtils{isNumericSpace(Ljava/lang/CharSequence;)Z 0.0, lineNumber=5365, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringUtils, methodName=org.apache.commons.lang3.StringUtils{isNumericSpace(Ljava/lang/CharSequence;)Z 0.0, lineNumber=5360, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringUtils, methodName=org.apache.commons.lang3.StringUtils{isAlphanumericSpace(Ljava/lang/CharSequence;)Z 0.0, lineNumber=5254, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringUtils, methodName=org.apache.commons.lang3.StringUtils{isAlphanumericSpace(Ljava/lang/CharSequence;)Z 0.0, lineNumber=5249, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringUtils, methodName=org.apache.commons.lang3.StringUtils{isWhitespace(Ljava/lang/CharSequence;)Z 0.0, lineNumber=5398, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringUtils, methodName=org.apache.commons.lang3.StringUtils{isWhitespace(Ljava/lang/CharSequence;)Z 0.0, lineNumber=5393, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringUtils, methodName=org.apache.commons.lang3.StringUtils{isNumeric(Ljava/lang/CharSequence;)Z 0.0, lineNumber=5328, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringUtils, methodName=org.apache.commons.lang3.StringUtils{isNumeric(Ljava/lang/CharSequence;)Z 0.0, lineNumber=5323, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.text.translate.NumericEntityEscaper, methodName=org.apache.commons.lang3.text.translate.NumericEntityEscaper{translate(ILjava/io/Writer;)Z 0.0, lineNumber=67, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.text.translate.NumericEntityEscaper, methodName=org.apache.commons.lang3.text.translate.NumericEntityEscaper{translate(ILjava/io/Writer;)Z 0.0, lineNumber=71, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.text.translate.NumericEntityEscaper, methodName=org.apache.commons.lang3.text.translate.NumericEntityEscaper{translate(ILjava/io/Writer;)Z 0.0, lineNumber=66, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.concurrent.TimedSemaphore, methodName=org.apache.commons.lang3.concurrent.TimedSemaphore{acquire()V 0.0, lineNumber=303, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.concurrent.TimedSemaphore, methodName=org.apache.commons.lang3.concurrent.TimedSemaphore{acquire()V 0.0, lineNumber=296, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.concurrent.TimedSemaphore, methodName=org.apache.commons.lang3.concurrent.TimedSemaphore{acquire()V 0.0, lineNumber=292, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.concurrent.TimedSemaphore, methodName=org.apache.commons.lang3.concurrent.TimedSemaphore{shutdown()V 0.0, lineNumber=261, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.concurrent.TimedSemaphore, methodName=org.apache.commons.lang3.concurrent.TimedSemaphore{shutdown()V 0.0, lineNumber=256, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.concurrent.TimedSemaphore, methodName=org.apache.commons.lang3.concurrent.TimedSemaphore{shutdown()V 0.0, lineNumber=254, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.concurrent.BasicThreadFactory$Builder, methodName=org.apache.commons.lang3.concurrent.BasicThreadFactory$Builder{uncaughtExceptionHandler(Ljava/lang/Thread$UncaughtExceptionHandler;)Lorg/apache/commons/lang3/concurrent/BasicThreadFactory$Builder; 0.0, lineNumber=345, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.concurrent.BasicThreadFactory$Builder, methodName=org.apache.commons.lang3.concurrent.BasicThreadFactory$Builder{namingPattern(Ljava/lang/String;)Lorg/apache/commons/lang3/concurrent/BasicThreadFactory$Builder; 0.0, lineNumber=300, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.concurrent.BasicThreadFactory$Builder, methodName=org.apache.commons.lang3.concurrent.BasicThreadFactory$Builder{wrappedFactory(Ljava/util/concurrent/ThreadFactory;)Lorg/apache/commons/lang3/concurrent/BasicThreadFactory$Builder; 0.0, lineNumber=282, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.concurrent.BasicThreadFactory, methodName=org.apache.commons.lang3.concurrent.BasicThreadFactory{initializeThread(Ljava/lang/Thread;)V 0.0, lineNumber=233, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.concurrent.BasicThreadFactory, methodName=org.apache.commons.lang3.concurrent.BasicThreadFactory{initializeThread(Ljava/lang/Thread;)V 0.0, lineNumber=229, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.concurrent.BasicThreadFactory, methodName=org.apache.commons.lang3.concurrent.BasicThreadFactory{initializeThread(Ljava/lang/Thread;)V 0.0, lineNumber=225, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.concurrent.BasicThreadFactory, methodName=org.apache.commons.lang3.concurrent.BasicThreadFactory{initializeThread(Ljava/lang/Thread;)V 0.0, lineNumber=221, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.concurrent.CallableBackgroundInitializer, methodName=org.apache.commons.lang3.concurrent.CallableBackgroundInitializer{checkCallable(Ljava/util/concurrent/Callable;)V 0.0, lineNumber=121, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringEscapeUtils$CsvUnescaper, methodName=org.apache.commons.lang3.StringEscapeUtils$CsvUnescaper{translate(Ljava/lang/CharSequence;ILjava/io/Writer;)I 0.0, lineNumber=191, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringEscapeUtils$CsvUnescaper, methodName=org.apache.commons.lang3.StringEscapeUtils$CsvUnescaper{translate(Ljava/lang/CharSequence;ILjava/io/Writer;)I 0.0, lineNumber=183, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringEscapeUtils$CsvUnescaper, methodName=org.apache.commons.lang3.StringEscapeUtils$CsvUnescaper{translate(Ljava/lang/CharSequence;ILjava/io/Writer;)I 0.0, lineNumber=179, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringEscapeUtils$CsvEscaper, methodName=org.apache.commons.lang3.StringEscapeUtils$CsvEscaper{translate(Ljava/lang/CharSequence;ILjava/io/Writer;)I 0.0, lineNumber=115, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.StringEscapeUtils$CsvEscaper, methodName=org.apache.commons.lang3.StringEscapeUtils$CsvEscaper{translate(Ljava/lang/CharSequence;ILjava/io/Writer;)I 0.0, lineNumber=111, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{isSameDay(Ljava/util/Calendar;Ljava/util/Calendar;)Z 0.0, lineNumber=200, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{isSameDay(Ljava/util/Date;Ljava/util/Date;)Z 0.0, lineNumber=176, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{iterator(Ljava/lang/Object;I)Ljava/util/Iterator; 0.0, lineNumber=1233, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{iterator(Ljava/lang/Object;I)Ljava/util/Iterator; 0.0, lineNumber=1231, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{iterator(Ljava/lang/Object;I)Ljava/util/Iterator; 0.0, lineNumber=1228, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{isSameInstant(Ljava/util/Calendar;Ljava/util/Calendar;)Z 0.0, lineNumber=239, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{isSameInstant(Ljava/util/Date;Ljava/util/Date;)Z 0.0, lineNumber=221, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{ceiling(Ljava/lang/Object;I)Ljava/util/Date; 0.0, lineNumber=924, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{ceiling(Ljava/lang/Object;I)Ljava/util/Date; 0.0, lineNumber=922, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{ceiling(Ljava/lang/Object;I)Ljava/util/Date; 0.0, lineNumber=919, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{ceiling(Ljava/util/Calendar;I)Ljava/util/Calendar; 0.0, lineNumber=889, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{ceiling(Ljava/util/Date;I)Ljava/util/Date; 0.0, lineNumber=862, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{isSameLocalTime(Ljava/util/Calendar;Ljava/util/Calendar;)Z 0.0, lineNumber=259, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{set(Ljava/util/Date;II)Ljava/util/Date; 0.0, lineNumber=614, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils$DateIterator, methodName=org.apache.commons.lang3.time.DateUtils$DateIterator{next()Ljava/util/Calendar; 0.0, lineNumber=1852, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{iterator(Ljava/util/Calendar;I)Ljava/util/Iterator; 0.0, lineNumber=1196, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{iterator(Ljava/util/Calendar;I)Ljava/util/Iterator; 0.0, lineNumber=1193, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{iterator(Ljava/util/Calendar;I)Ljava/util/Iterator; 0.0, lineNumber=1190, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{iterator(Ljava/util/Calendar;I)Ljava/util/Iterator; 0.0, lineNumber=1187, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{iterator(Ljava/util/Calendar;I)Ljava/util/Iterator; 0.0, lineNumber=1154, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{iterator(Ljava/util/Calendar;I)Ljava/util/Iterator; 0.0, lineNumber=1137, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{iterator(Ljava/util/Date;I)Ljava/util/Iterator; 0.0, lineNumber=1104, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{parseDateWithLeniency(Ljava/lang/String;[Ljava/lang/String;Z)Ljava/util/Date; 0.0, lineNumber=354, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{parseDateWithLeniency(Ljava/lang/String;[Ljava/lang/String;Z)Ljava/util/Date; 0.0, lineNumber=349, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{parseDateWithLeniency(Ljava/lang/String;[Ljava/lang/String;Z)Ljava/util/Date; 0.0, lineNumber=340, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.time.DateUtils, methodName=org.apache.commons.lang3.time.DateUtils{parseDateWithLeniency(Ljava/lang/String;[Ljava/lang/String;Z)Ljava/util/Date; 0.0, lineNumber=328, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.concurrent.AtomicInitializer, methodName=org.apache.commons.lang3.concurrent.AtomicInitializer{get()Ljava/lang/Object; 0.0, lineNumber=85, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.concurrent.AtomicInitializer, methodName=org.apache.commons.lang3.concurrent.AtomicInitializer{get()Ljava/lang/Object; 0.0, lineNumber=83, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.math.Fraction, methodName=org.apache.commons.lang3.math.Fraction{reduce()Lorg/apache/commons/lang3/math/Fraction; 0.0, lineNumber=474, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.math.Fraction, methodName=org.apache.commons.lang3.math.Fraction{reduce()Lorg/apache/commons/lang3/math/Fraction; 0.0, lineNumber=470, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.lang3.math.Fraction, methodName=org.apache.commons.lang3.math.Fraction{getFraction(Ljava/lang/String;)Lorg/apache/commons/lang3/math/Fraction; 0.0, lineNumber=335, susp=0.0]
