kali-susp:Candidate [className=org.jfree.chart.block.AbstractBlock, methodName=org.jfree.chart.block.AbstractBlock{trimToContentHeight(Lorg/jfree/data/Range;)Lorg/jfree/data/Range; 0.0, lineNumber=453, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=462, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=461, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=459, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=458, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=454, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=453, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=452, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=450, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=449, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=445, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=444, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=443, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=436, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=435, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=427, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=426, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=425, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=424, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=323, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=322, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=320, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=319, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=318, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=315, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=314, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=312, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=311, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=308, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=307, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=306, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=302, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=301, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=300, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=298, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=297, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=296, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=295, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=292, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=287, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=282, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=279, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=278, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFN(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;D)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=277, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrange(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=152, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrange(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=151, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrange(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=149, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrange(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=148, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrange(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=147, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{clear()V 0.0, lineNumber=499, susp=2.0]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{clear()V 0.0, lineNumber=498, susp=2.0]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{clear()V 0.0, lineNumber=497, susp=2.0]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{clear()V 0.0, lineNumber=496, susp=2.0]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{clear()V 0.0, lineNumber=495, susp=2.0]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{add(Lorg/jfree/chart/block/Block;Ljava/lang/Object;)V 0.0, lineNumber=113, susp=1.0]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{add(Lorg/jfree/chart/block/Block;Ljava/lang/Object;)V 0.0, lineNumber=112, susp=1.0]
kali-susp:Candidate [className=org.jfree.chart.block.EmptyBlock, methodName=org.jfree.chart.block.EmptyBlock{arrange(Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=85, susp=0.6666666666666666]
kali-susp:Candidate [className=org.jfree.chart.block.AbstractBlock, methodName=org.jfree.chart.block.AbstractBlock{getHeight()D 0.0, lineNumber=175, susp=0.5]
kali-susp:Candidate [className=org.jfree.chart.block.AbstractBlock, methodName=org.jfree.chart.block.AbstractBlock{getWidth()D 0.0, lineNumber=151, susp=0.5]
kali-susp:Candidate [className=org.jfree.chart.block.AbstractBlock, methodName=org.jfree.chart.block.AbstractBlock{setHeight(D)V 0.0, lineNumber=186, susp=0.1]
kali-susp:Candidate [className=org.jfree.chart.block.AbstractBlock, methodName=org.jfree.chart.block.AbstractBlock{setWidth(D)V 0.0, lineNumber=162, susp=0.1]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrange(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=170, susp=0.038461538461538464]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrange(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=136, susp=0.038461538461538464]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrange(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=135, susp=0.038461538461538464]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrange(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=134, susp=0.038461538461538464]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrange(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=133, susp=0.038461538461538464]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrange(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=131, susp=0.038461538461538464]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{add(Lorg/jfree/chart/block/Block;Ljava/lang/Object;)V 0.0, lineNumber=110, susp=0.03773584905660377]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{add(Lorg/jfree/chart/block/Block;Ljava/lang/Object;)V 0.0, lineNumber=109, susp=0.03773584905660377]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{add(Lorg/jfree/chart/block/Block;Ljava/lang/Object;)V 0.0, lineNumber=106, susp=0.03773584905660377]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{add(Lorg/jfree/chart/block/Block;Ljava/lang/Object;)V 0.0, lineNumber=103, susp=0.03773584905660377]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{add(Lorg/jfree/chart/block/Block;Ljava/lang/Object;)V 0.0, lineNumber=102, susp=0.03773584905660377]
kali-susp:Candidate [className=org.jfree.chart.block.BlockContainer, methodName=org.jfree.chart.block.BlockContainer{arrange(Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=182, susp=0.037037037037037035]
kali-susp:Candidate [className=org.jfree.chart.block.AbstractBlock, methodName=org.jfree.chart.block.AbstractBlock{setBounds(Ljava/awt/geom/Rectangle2D;)V 0.0, lineNumber=368, susp=0.034482758620689655]
kali-susp:Candidate [className=org.jfree.chart.block.AbstractBlock, methodName=org.jfree.chart.block.AbstractBlock{setBounds(Ljava/awt/geom/Rectangle2D;)V 0.0, lineNumber=365, susp=0.034482758620689655]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{add(Lorg/jfree/chart/block/Block;Ljava/lang/Object;)V 0.0, lineNumber=99, susp=0.034482758620689655]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{add(Lorg/jfree/chart/block/Block;Ljava/lang/Object;)V 0.0, lineNumber=98, susp=0.034482758620689655]
kali-susp:Candidate [className=org.jfree.chart.block.BlockContainer, methodName=org.jfree.chart.block.BlockContainer{add(Lorg/jfree/chart/block/Block;Ljava/lang/Object;)V 0.0, lineNumber=161, susp=0.03278688524590164]
kali-susp:Candidate [className=org.jfree.chart.block.BlockContainer, methodName=org.jfree.chart.block.BlockContainer{add(Lorg/jfree/chart/block/Block;Ljava/lang/Object;)V 0.0, lineNumber=160, susp=0.03278688524590164]
kali-susp:Candidate [className=org.jfree.chart.block.BlockContainer, methodName=org.jfree.chart.block.BlockContainer{add(Lorg/jfree/chart/block/Block;)V 0.0, lineNumber=150, susp=0.03278688524590164]
kali-susp:Candidate [className=org.jfree.chart.block.AbstractBlock, methodName=org.jfree.chart.block.AbstractBlock{trimToContentHeight(Lorg/jfree/data/Range;)Lorg/jfree/data/Range; 0.0, lineNumber=463, susp=0.031746031746031744]
kali-susp:Candidate [className=org.jfree.chart.block.AbstractBlock, methodName=org.jfree.chart.block.AbstractBlock{trimToContentHeight(Lorg/jfree/data/Range;)Lorg/jfree/data/Range; 0.0, lineNumber=461, susp=0.031746031746031744]
kali-susp:Candidate [className=org.jfree.chart.block.AbstractBlock, methodName=org.jfree.chart.block.AbstractBlock{trimToContentHeight(Lorg/jfree/data/Range;)Lorg/jfree/data/Range; 0.0, lineNumber=460, susp=0.031746031746031744]
kali-susp:Candidate [className=org.jfree.chart.block.AbstractBlock, methodName=org.jfree.chart.block.AbstractBlock{trimToContentHeight(Lorg/jfree/data/Range;)Lorg/jfree/data/Range; 0.0, lineNumber=457, susp=0.031746031746031744]
kali-susp:Candidate [className=org.jfree.chart.block.AbstractBlock, methodName=org.jfree.chart.block.AbstractBlock{trimToContentHeight(Lorg/jfree/data/Range;)Lorg/jfree/data/Range; 0.0, lineNumber=456, susp=0.031746031746031744]
kali-susp:Candidate [className=org.jfree.chart.block.AbstractBlock, methodName=org.jfree.chart.block.AbstractBlock{trimToContentHeight(Lorg/jfree/data/Range;)Lorg/jfree/data/Range; 0.0, lineNumber=455, susp=0.031746031746031744]
