kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{dqd(II)V 0.0, lineNumber=1415, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{flipIfWarranted(II)Z 0.0, lineNumber=1142, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{flipIfWarranted(II)Z 0.0, lineNumber=1140, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{flipIfWarranted(II)Z 0.0, lineNumber=1139, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{flipIfWarranted(II)Z 0.0, lineNumber=1138, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{flipIfWarranted(II)Z 0.0, lineNumber=1137, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{flipIfWarranted(II)Z 0.0, lineNumber=1136, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{flipIfWarranted(II)Z 0.0, lineNumber=1135, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{goodStep(II)I 0.0, lineNumber=1063, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{goodStep(II)I 0.0, lineNumber=1062, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{goodStep(II)I 0.0, lineNumber=1059, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{goodStep(II)I 0.0, lineNumber=1056, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{goodStep(II)I 0.0, lineNumber=1055, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{initialSplits(I)V 0.0, lineNumber=960, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{initialSplits(I)V 0.0, lineNumber=959, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{initialSplits(I)V 0.0, lineNumber=958, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{initialSplits(I)V 0.0, lineNumber=957, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{initialSplits(I)V 0.0, lineNumber=945, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{initialSplits(I)V 0.0, lineNumber=944, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{processGeneralBlock(I)V 0.0, lineNumber=872, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{processGeneralBlock(I)V 0.0, lineNumber=871, susp=1.0]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{goodStep(II)I 0.0, lineNumber=1093, susp=0.5]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{goodStep(II)I 0.0, lineNumber=1092, susp=0.5]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{goodStep(II)I 0.0, lineNumber=1091, susp=0.5]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{goodStep(II)I 0.0, lineNumber=1090, susp=0.5]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{getEigenvector(I)Lorg/apache/commons/math/linear/RealVector; 0.0, lineNumber=339, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{getEigenvector(I)Lorg/apache/commons/math/linear/RealVector; 0.0, lineNumber=337, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{getEigenvector(I)Lorg/apache/commons/math/linear/RealVector; 0.0, lineNumber=336, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=427, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=424, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=423, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=422, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=420, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=419, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=417, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=416, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=415, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=414, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=413, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=411, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=410, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=409, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=408, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=407, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=404, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=403, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=402, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=400, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=399, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=398, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=396, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=395, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=394, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=391, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=390, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=389, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=388, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=387, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=385, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=384, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=383, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=382, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=381, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=380, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=379, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=377, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=376, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=375, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=374, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=373, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=372, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=371, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=370, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=369, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=368, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=367, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=366, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=365, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=364, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.util.MathUtils, methodName=org.apache.commons.math.util.MathUtils{factorialLog(I)D 0.0, lineNumber=575, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.util.MathUtils, methodName=org.apache.commons.math.util.MathUtils{factorial(I)J 0.0, lineNumber=520, susp=0.33333333333333337]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1565, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1564, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1544, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1541, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1538, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1537, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1536, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1535, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1534, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1531, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1530, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{goodStep(II)I 0.0, lineNumber=1106, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{goodStep(II)I 0.0, lineNumber=1105, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.util.MathUtils, methodName=org.apache.commons.math.util.MathUtils{factorialLog(I)D 0.0, lineNumber=581, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.util.MathUtils, methodName=org.apache.commons.math.util.MathUtils{factorialLog(I)D 0.0, lineNumber=579, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.util.MathUtils, methodName=org.apache.commons.math.util.MathUtils{factorialLog(I)D 0.0, lineNumber=578, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.util.MathUtils, methodName=org.apache.commons.math.util.MathUtils{factorialLog(I)D 0.0, lineNumber=577, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.util.MathUtils, methodName=org.apache.commons.math.util.MathUtils{factorial(I)J 0.0, lineNumber=516, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.util.MathUtils, methodName=org.apache.commons.math.util.MathUtils{factorial(I)J 0.0, lineNumber=511, susp=0.25]
kali-susp:Candidate [className=org.apache.commons.math.util.MathUtils, methodName=org.apache.commons.math.util.MathUtils{factorialLog(I)D 0.0, lineNumber=574, susp=0.19999999999999996]
kali-susp:Candidate [className=org.apache.commons.math.util.MathUtils, methodName=org.apache.commons.math.util.MathUtils{factorialLog(I)D 0.0, lineNumber=569, susp=0.19999999999999996]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=359, susp=0.16666666666666663]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=357, susp=0.16666666666666663]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=356, susp=0.16666666666666663]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=355, susp=0.16666666666666663]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=354, susp=0.16666666666666663]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=353, susp=0.16666666666666663]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=351, susp=0.16666666666666663]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=350, susp=0.16666666666666663]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=349, susp=0.16666666666666663]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=348, susp=0.16666666666666663]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=347, susp=0.16666666666666663]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=346, susp=0.16666666666666663]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=344, susp=0.16666666666666663]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=339, susp=0.16666666666666663]
kali-susp:Candidate [className=org.apache.commons.math.stat.inference.ChiSquareTestImpl, methodName=org.apache.commons.math.stat.inference.ChiSquareTestImpl{chiSquareTest([D[JD)Z 0.0, lineNumber=142, susp=0.16666666666666663]
kali-susp:Candidate [className=org.apache.commons.math.stat.inference.ChiSquareTestImpl, methodName=org.apache.commons.math.stat.inference.ChiSquareTestImpl{chiSquareTest([D[JD)Z 0.0, lineNumber=137, susp=0.16666666666666663]
kali-susp:Candidate [className=org.apache.commons.math.linear.ArrayRealVector, methodName=org.apache.commons.math.linear.ArrayRealVector{copy()Lorg/apache/commons/math/linear/RealVector; 0.0, lineNumber=225, susp=0.16666666666666663]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextExponential(D)D 0.0, lineNumber=473, susp=0.1428571428571429]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextExponential(D)D 0.0, lineNumber=470, susp=0.1428571428571429]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextExponential(D)D 0.0, lineNumber=469, susp=0.1428571428571429]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextExponential(D)D 0.0, lineNumber=468, susp=0.1428571428571429]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextExponential(D)D 0.0, lineNumber=464, susp=0.1428571428571429]
kali-susp:Candidate [className=org.apache.commons.math.linear.ArrayRealVector, methodName=org.apache.commons.math.linear.ArrayRealVector{dotProduct(Lorg/apache/commons/math/linear/ArrayRealVector;)D 0.0, lineNumber=900, susp=0.1428571428571429]
kali-susp:Candidate [className=org.apache.commons.math.linear.ArrayRealVector, methodName=org.apache.commons.math.linear.ArrayRealVector{dotProduct(Lorg/apache/commons/math/linear/RealVector;)D 0.0, lineNumber=870, susp=0.1428571428571429]
kali-susp:Candidate [className=org.apache.commons.math.distribution.AbstractIntegerDistribution, methodName=org.apache.commons.math.distribution.AbstractIntegerDistribution{cumulativeProbability(II)D 0.0, lineNumber=143, susp=0.125]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1499, susp=0.11111111111111116]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1498, susp=0.11111111111111116]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1495, susp=0.11111111111111116]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1494, susp=0.11111111111111116]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1491, susp=0.11111111111111116]
