kali-susp:Candidate [className=org.apache.commons.math3.distribution.HypergeometricDistribution, methodName=org.apache.commons.math3.distribution.HypergeometricDistribution{getNumericalVariance()D 0.0, lineNumber=279, susp=0.05263157894736842]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.MultiStartMultivariateOptimizer$1, methodName=org.apache.commons.math3.optim.nonlinear.scalar.MultiStartMultivariateOptimizer$1{compare(Lorg/apache/commons/math3/optim/PointValuePair;Lorg/apache/commons/math3/optim/PointValuePair;)I 0.0, lineNumber=101, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.MultiStartMultivariateOptimizer$1, methodName=org.apache.commons.math3.optim.nonlinear.scalar.MultiStartMultivariateOptimizer$1{compare(Lorg/apache/commons/math3/optim/PointValuePair;Lorg/apache/commons/math3/optim/PointValuePair;)I 0.0, lineNumber=99, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.linear.RealMatrixFormat, methodName=org.apache.commons.math3.linear.RealMatrixFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=354, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.linear.RealMatrixFormat, methodName=org.apache.commons.math3.linear.RealMatrixFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=378, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.linear.RealMatrixFormat, methodName=org.apache.commons.math3.linear.RealMatrixFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=373, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.linear.RealMatrixFormat, methodName=org.apache.commons.math3.linear.RealMatrixFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=367, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.linear.RealMatrixFormat, methodName=org.apache.commons.math3.linear.RealMatrixFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=351, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.linear.RealMatrixFormat, methodName=org.apache.commons.math3.linear.RealMatrixFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=348, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.linear.RealMatrixFormat, methodName=org.apache.commons.math3.linear.RealMatrixFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=342, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.linear.RealMatrixFormat, methodName=org.apache.commons.math3.linear.RealMatrixFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=331, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.linear.RealMatrixFormat, methodName=org.apache.commons.math3.linear.RealMatrixFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=326, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.linear.RealMatrixFormat, methodName=org.apache.commons.math3.linear.RealMatrixFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=325, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.linear.RealMatrixFormat, methodName=org.apache.commons.math3.linear.RealMatrixFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=323, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.linear.RealMatrixFormat, methodName=org.apache.commons.math3.linear.RealMatrixFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=314, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.linear.RealMatrixFormat, methodName=org.apache.commons.math3.linear.RealMatrixFormat{parse(Ljava/lang/String;)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=287, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.analysis.function.Logit, methodName=org.apache.commons.math3.analysis.function.Logit{value(Lorg/apache/commons/math3/analysis/differentiation/DerivativeStructure;)Lorg/apache/commons/math3/analysis/differentiation/DerivativeStructure; 0.0, lineNumber=185, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.analysis.function.Logit$Parametric, methodName=org.apache.commons.math3.analysis.function.Logit$Parametric{validateParameters([D)V 0.0, lineNumber=145, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.analysis.function.Logit$Parametric, methodName=org.apache.commons.math3.analysis.function.Logit$Parametric{validateParameters([D)V 0.0, lineNumber=142, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.analysis.function.Logit, methodName=org.apache.commons.math3.analysis.function.Logit{value(Lorg/apache/commons/math3/analysis/differentiation/DerivativeStructure;)Lorg/apache/commons/math3/analysis/differentiation/DerivativeStructure; 0.0, lineNumber=183, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.analysis.function.Logit, methodName=org.apache.commons.math3.analysis.function.Logit{value(Lorg/apache/commons/math3/analysis/differentiation/DerivativeStructure;)Lorg/apache/commons/math3/analysis/differentiation/DerivativeStructure; 0.0, lineNumber=175, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.linear.CholeskyDecomposition, methodName=org.apache.commons.math3.linear.CholeskyDecomposition{getLT()Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=177, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.linear.CholeskyDecomposition, methodName=org.apache.commons.math3.linear.CholeskyDecomposition{getL()Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=164, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.euclidean.threed.SphericalCoordinates, methodName=org.apache.commons.math3.geometry.euclidean.threed.SphericalCoordinates{computeHessians()V 0.0, lineNumber=280, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.euclidean.threed.SphericalCoordinates, methodName=org.apache.commons.math3.geometry.euclidean.threed.SphericalCoordinates{computeJacobian()V 0.0, lineNumber=246, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.fraction.ProperFractionFormat, methodName=org.apache.commons.math3.fraction.ProperFractionFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/fraction/Fraction; 0.0, lineNumber=209, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.fraction.ProperFractionFormat, methodName=org.apache.commons.math3.fraction.ProperFractionFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/fraction/Fraction; 0.0, lineNumber=201, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.fraction.ProperFractionFormat, methodName=org.apache.commons.math3.fraction.ProperFractionFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/fraction/Fraction; 0.0, lineNumber=170, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.fraction.ProperFractionFormat, methodName=org.apache.commons.math3.fraction.ProperFractionFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/fraction/Fraction; 0.0, lineNumber=162, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.fraction.ProperFractionFormat, methodName=org.apache.commons.math3.fraction.ProperFractionFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/fraction/Fraction; 0.0, lineNumber=149, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.fraction.FractionFormat, methodName=org.apache.commons.math3.fraction.FractionFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/fraction/Fraction; 0.0, lineNumber=254, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.fraction.FractionFormat, methodName=org.apache.commons.math3.fraction.FractionFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/fraction/Fraction; 0.0, lineNumber=221, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.fraction.FractionFormat, methodName=org.apache.commons.math3.fraction.FractionFormat{parse(Ljava/lang/String;)Lorg/apache/commons/math3/fraction/Fraction; 0.0, lineNumber=199, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.fraction.ProperFractionFormat, methodName=org.apache.commons.math3.fraction.ProperFractionFormat{parse(Ljava/lang/String;Ljava/text/ParsePosition;)Lorg/apache/commons/math3/fraction/Fraction; 0.0, lineNumber=138, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.fraction.FractionFormat, methodName=org.apache.commons.math3.fraction.FractionFormat{format(Ljava/lang/Object;Ljava/lang/StringBuffer;Ljava/text/FieldPosition;)Ljava/lang/StringBuffer; 0.0, lineNumber=179, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.fraction.FractionFormat, methodName=org.apache.commons.math3.fraction.FractionFormat{format(Ljava/lang/Object;Ljava/lang/StringBuffer;Ljava/text/FieldPosition;)Ljava/lang/StringBuffer; 0.0, lineNumber=177, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.fraction.ProperFractionFormat, methodName=org.apache.commons.math3.fraction.ProperFractionFormat{format(Lorg/apache/commons/math3/fraction/Fraction;Ljava/lang/StringBuffer;Ljava/text/FieldPosition;)Ljava/lang/StringBuffer; 0.0, lineNumber=101, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.fraction.ProperFractionFormat, methodName=org.apache.commons.math3.fraction.ProperFractionFormat{setWholeFormat(Ljava/text/NumberFormat;)V 0.0, lineNumber=227, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer, methodName=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer{updateCovarianceDiagonalOnly(ZLorg/apache/commons/math3/linear/RealMatrix;)V 0.0, lineNumber=676, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer, methodName=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer{doOptimize()Lorg/apache/commons/math3/optim/PointValuePair; 0.0, lineNumber=458, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer$FitnessFunction, methodName=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer$FitnessFunction{repair([D)[D 0.0, lineNumber=948, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer$FitnessFunction, methodName=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer$FitnessFunction{repair([D)[D 0.0, lineNumber=946, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer$FitnessFunction, methodName=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer$FitnessFunction{value([D)D 0.0, lineNumber=900, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer, methodName=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer{min([D)D 0.0, lineNumber=1257, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer, methodName=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer{max([D)D 0.0, lineNumber=1243, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer, methodName=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer{min(Lorg/apache/commons/math3/linear/RealMatrix;)D 0.0, lineNumber=1228, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer, methodName=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer{max(Lorg/apache/commons/math3/linear/RealMatrix;)D 0.0, lineNumber=1211, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer, methodName=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer{eye(II)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=1151, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer, methodName=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer{diag(Lorg/apache/commons/math3/linear/RealMatrix;)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=1099, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer, methodName=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer{updateBD(D)V 0.0, lineNumber=783, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer, methodName=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer{updateBD(D)V 0.0, lineNumber=773, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer, methodName=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer{updateBD(D)V 0.0, lineNumber=764, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer, methodName=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer{updateCovariance(ZLorg/apache/commons/math3/linear/RealMatrix;Lorg/apache/commons/math3/linear/RealMatrix;[ILorg/apache/commons/math3/linear/RealMatrix;)V 0.0, lineNumber=732, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer, methodName=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer{updateCovariance(ZLorg/apache/commons/math3/linear/RealMatrix;Lorg/apache/commons/math3/linear/RealMatrix;[ILorg/apache/commons/math3/linear/RealMatrix;)V 0.0, lineNumber=709, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer, methodName=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer{updateCovariance(ZLorg/apache/commons/math3/linear/RealMatrix;Lorg/apache/commons/math3/linear/RealMatrix;[ILorg/apache/commons/math3/linear/RealMatrix;)V 0.0, lineNumber=701, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer, methodName=org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer{updateEvolutionPaths(Lorg/apache/commons/math3/linear/RealMatrix;Lorg/apache/commons/math3/linear/RealMatrix;)Z 0.0, lineNumber=653, susp=0.0]
