kali-susp:Candidate [className=org.jfree.chart.renderer.category.StatisticalBarRenderer, methodName=org.jfree.chart.renderer.category.StatisticalBarRenderer{drawItem(Ljava/awt/Graphics2D;Lorg/jfree/chart/renderer/category/CategoryItemRendererState;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/plot/CategoryPlot;Lorg/jfree/chart/axis/CategoryAxis;Lorg/jfree/chart/axis/ValueAxis;Lorg/jfree/data/category/CategoryDataset;III)V 0.0, lineNumber=207, susp=7.99938195302843]
kali-susp:Candidate [className=org.jfree.data.statistics.DefaultStatisticalCategoryDataset, methodName=org.jfree.data.statistics.DefaultStatisticalCategoryDataset{add(Ljava/lang/Number;Ljava/lang/Number;Ljava/lang/Comparable;Ljava/lang/Comparable;)V 0.0, lineNumber=318, susp=7.996291718170581]
kali-susp:Candidate [className=org.jfree.data.statistics.DefaultStatisticalCategoryDataset, methodName=org.jfree.data.statistics.DefaultStatisticalCategoryDataset{add(Ljava/lang/Number;Ljava/lang/Number;Ljava/lang/Comparable;Ljava/lang/Comparable;)V 0.0, lineNumber=312, susp=7.996291718170581]
kali-susp:Candidate [className=org.jfree.data.statistics.DefaultStatisticalCategoryDataset, methodName=org.jfree.data.statistics.DefaultStatisticalCategoryDataset{add(Ljava/lang/Number;Ljava/lang/Number;Ljava/lang/Comparable;Ljava/lang/Comparable;)V 0.0, lineNumber=311, susp=7.996291718170581]
kali-susp:Candidate [className=org.jfree.data.statistics.DefaultStatisticalCategoryDataset, methodName=org.jfree.data.statistics.DefaultStatisticalCategoryDataset{add(Ljava/lang/Number;Ljava/lang/Number;Ljava/lang/Comparable;Ljava/lang/Comparable;)V 0.0, lineNumber=307, susp=7.996291718170581]
kali-susp:Candidate [className=org.jfree.data.statistics.DefaultStatisticalCategoryDataset, methodName=org.jfree.data.statistics.DefaultStatisticalCategoryDataset{add(Ljava/lang/Number;Ljava/lang/Number;Ljava/lang/Comparable;Ljava/lang/Comparable;)V 0.0, lineNumber=304, susp=7.996291718170581]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.BarRenderer, methodName=org.jfree.chart.renderer.category.BarRenderer{calculateBarWidth(Lorg/jfree/chart/plot/CategoryPlot;Ljava/awt/geom/Rectangle2D;ILorg/jfree/chart/renderer/category/CategoryItemRendererState;)V 0.0, lineNumber=545, susp=7.996291718170581]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.BarRenderer, methodName=org.jfree.chart.renderer.category.BarRenderer{calculateBarWidth(Lorg/jfree/chart/plot/CategoryPlot;Ljava/awt/geom/Rectangle2D;ILorg/jfree/chart/renderer/category/CategoryItemRendererState;)V 0.0, lineNumber=539, susp=7.996291718170581]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.BarRenderer, methodName=org.jfree.chart.renderer.category.BarRenderer{calculateBarWidth(Lorg/jfree/chart/plot/CategoryPlot;Ljava/awt/geom/Rectangle2D;ILorg/jfree/chart/renderer/category/CategoryItemRendererState;)V 0.0, lineNumber=536, susp=7.996291718170581]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.BarRenderer, methodName=org.jfree.chart.renderer.category.BarRenderer{calculateBarWidth(Lorg/jfree/chart/plot/CategoryPlot;Ljava/awt/geom/Rectangle2D;ILorg/jfree/chart/renderer/category/CategoryItemRendererState;)V 0.0, lineNumber=527, susp=7.996291718170581]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.BarRenderer, methodName=org.jfree.chart.renderer.category.BarRenderer{calculateBarWidth(Lorg/jfree/chart/plot/CategoryPlot;Ljava/awt/geom/Rectangle2D;ILorg/jfree/chart/renderer/category/CategoryItemRendererState;)V 0.0, lineNumber=522, susp=7.996291718170581]
kali-susp:Candidate [className=org.jfree.data.Range, methodName=org.jfree.data.Range{expandToInclude(Lorg/jfree/data/Range;D)Lorg/jfree/data/Range; 0.0, lineNumber=234, susp=7.994437577255871]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer, methodName=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer{getItemLabelGenerator(II)Lorg/jfree/chart/labels/CategoryItemLabelGenerator; 0.0, lineNumber=297, susp=7.993201483312732]
kali-susp:Candidate [className=org.jfree.data.KeyedObjects2D, methodName=org.jfree.data.KeyedObjects2D{getObject(II)Ljava/lang/Object; 0.0, lineNumber=112, susp=7.993201483312732]
kali-susp:Candidate [className=org.jfree.data.KeyedObjects2D, methodName=org.jfree.data.KeyedObjects2D{getObject(II)Ljava/lang/Object; 0.0, lineNumber=110, susp=7.993201483312732]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.BarRenderer, methodName=org.jfree.chart.renderer.category.BarRenderer{getLegendItem(II)Lorg/jfree/chart/LegendItem; 0.0, lineNumber=696, susp=7.992583436341162]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.BarRenderer, methodName=org.jfree.chart.renderer.category.BarRenderer{getLegendItem(II)Lorg/jfree/chart/LegendItem; 0.0, lineNumber=679, susp=7.992583436341162]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.BarRenderer, methodName=org.jfree.chart.renderer.category.BarRenderer{getLegendItem(II)Lorg/jfree/chart/LegendItem; 0.0, lineNumber=674, susp=7.992583436341162]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.BarRenderer, methodName=org.jfree.chart.renderer.category.BarRenderer{getLegendItem(II)Lorg/jfree/chart/LegendItem; 0.0, lineNumber=665, susp=7.992583436341162]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.BarRenderer, methodName=org.jfree.chart.renderer.category.BarRenderer{getLegendItem(II)Lorg/jfree/chart/LegendItem; 0.0, lineNumber=660, susp=7.992583436341162]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer, methodName=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer{getDomainAxis(Lorg/jfree/chart/plot/CategoryPlot;I)Lorg/jfree/chart/axis/CategoryAxis; 0.0, lineNumber=1542, susp=7.992583436341162]
kali-susp:Candidate [className=org.jfree.data.KeyedObjects, methodName=org.jfree.data.KeyedObjects{getObject(I)Ljava/lang/Object; 0.0, lineNumber=91, susp=7.991347342398022]
kali-susp:Candidate [className=org.jfree.data.KeyedObjects, methodName=org.jfree.data.KeyedObjects{getObject(I)Ljava/lang/Object; 0.0, lineNumber=89, susp=7.991347342398022]
kali-susp:Candidate [className=org.jfree.chart.LegendItem, methodName=org.jfree.chart.LegendItem{setFillPaintTransformer(Lorg/jfree/chart/util/GradientPaintTransformer;)V 0.0, lineNumber=767, susp=7.990729295426452]
kali-susp:Candidate [className=org.jfree.data.KeyedObjects2D, methodName=org.jfree.data.KeyedObjects2D{setObject(Ljava/lang/Object;Ljava/lang/Comparable;Ljava/lang/Comparable;)V 0.0, lineNumber=238, susp=7.990111248454882]
kali-susp:Candidate [className=org.jfree.data.KeyedObjects2D, methodName=org.jfree.data.KeyedObjects2D{setObject(Ljava/lang/Object;Ljava/lang/Comparable;Ljava/lang/Comparable;)V 0.0, lineNumber=228, susp=7.990111248454882]
kali-susp:Candidate [className=org.jfree.data.KeyedObjects, methodName=org.jfree.data.KeyedObjects{getIndex(Ljava/lang/Comparable;)I 0.0, lineNumber=131, susp=7.989493201483313]
kali-susp:Candidate [className=org.jfree.chart.plot.CategoryPlot, methodName=org.jfree.chart.plot.CategoryPlot{render(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;ILorg/jfree/chart/plot/PlotRenderingInfo;)Z 0.0, lineNumber=2866, susp=7.988875154511743]
kali-susp:Candidate [className=org.jfree.chart.renderer.RendererState, methodName=org.jfree.chart.renderer.RendererState{getEntityCollection()Lorg/jfree/chart/entity/EntityCollection; 0.0, lineNumber=88, susp=7.988875154511743]
kali-susp:Candidate [className=org.jfree.data.KeyedObjects, methodName=org.jfree.data.KeyedObjects{setObject(Ljava/lang/Comparable;Ljava/lang/Object;)V 0.0, lineNumber=187, susp=7.988257107540173]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer, methodName=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer{drawRangeMarker(Ljava/awt/Graphics2D;Lorg/jfree/chart/plot/CategoryPlot;Lorg/jfree/chart/axis/ValueAxis;Lorg/jfree/chart/plot/Marker;Ljava/awt/geom/Rectangle2D;)V 0.0, lineNumber=1043, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer, methodName=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer{drawRangeMarker(Ljava/awt/Graphics2D;Lorg/jfree/chart/plot/CategoryPlot;Lorg/jfree/chart/axis/ValueAxis;Lorg/jfree/chart/plot/Marker;Ljava/awt/geom/Rectangle2D;)V 0.0, lineNumber=1028, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.util.ShapeUtilities, methodName=org.jfree.chart.util.ShapeUtilities{rotateShape(Ljava/awt/Shape;DFF)Ljava/awt/Shape; 0.0, lineNumber=362, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.util.RectangleAnchor, methodName=org.jfree.chart.util.RectangleAnchor{coordinates(Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/util/RectangleAnchor;)Ljava/awt/geom/Point2D; 0.0, lineNumber=144, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.plot.CategoryPlot, methodName=org.jfree.chart.plot.CategoryPlot{getCategoriesForAxis(Lorg/jfree/chart/axis/CategoryAxis;)Ljava/util/List; 0.0, lineNumber=3333, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.plot.CategoryPlot, methodName=org.jfree.chart.plot.CategoryPlot{render(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;ILorg/jfree/chart/plot/PlotRenderingInfo;)Z 0.0, lineNumber=2864, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.plot.CategoryPlot, methodName=org.jfree.chart.plot.CategoryPlot{getLegendItems()Lorg/jfree/chart/LegendItemCollection; 0.0, lineNumber=1763, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer, methodName=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer{initialise(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/plot/CategoryPlot;ILorg/jfree/chart/plot/PlotRenderingInfo;)Lorg/jfree/chart/renderer/category/CategoryItemRendererState; 0.0, lineNumber=747, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.axis.CategoryAxis, methodName=org.jfree.chart.axis.CategoryAxis{refreshTicks(Ljava/awt/Graphics2D;Lorg/jfree/chart/axis/AxisState;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/util/RectangleEdge;)Ljava/util/List; 0.0, lineNumber=1010, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.axis.CategoryAxis, methodName=org.jfree.chart.axis.CategoryAxis{drawCategoryLabels(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/util/RectangleEdge;Lorg/jfree/chart/axis/AxisState;Lorg/jfree/chart/plot/PlotRenderingInfo;)Lorg/jfree/chart/axis/AxisState; 0.0, lineNumber=925, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.axis.CategoryAxis, methodName=org.jfree.chart.axis.CategoryAxis{drawCategoryLabels(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/util/RectangleEdge;Lorg/jfree/chart/axis/AxisState;Lorg/jfree/chart/plot/PlotRenderingInfo;)Lorg/jfree/chart/axis/AxisState; 0.0, lineNumber=888, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.axis.CategoryAxis, methodName=org.jfree.chart.axis.CategoryAxis{drawCategoryLabels(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/util/RectangleEdge;Lorg/jfree/chart/axis/AxisState;Lorg/jfree/chart/plot/PlotRenderingInfo;)Lorg/jfree/chart/axis/AxisState; 0.0, lineNumber=880, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.axis.CategoryAxis, methodName=org.jfree.chart.axis.CategoryAxis{calculateCategoryGapSize(ILjava/awt/geom/Rectangle2D;Lorg/jfree/chart/util/RectangleEdge;)D 0.0, lineNumber=712, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.axis.CategoryAxis, methodName=org.jfree.chart.axis.CategoryAxis{calculateCategoryGapSize(ILjava/awt/geom/Rectangle2D;Lorg/jfree/chart/util/RectangleEdge;)D 0.0, lineNumber=704, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.axis.CategoryAxis, methodName=org.jfree.chart.axis.CategoryAxis{getCategoryStart(IILjava/awt/geom/Rectangle2D;Lorg/jfree/chart/util/RectangleEdge;)D 0.0, lineNumber=593, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.axis.CategoryAxis, methodName=org.jfree.chart.axis.CategoryAxis{getTickLabelPaint(Ljava/lang/Comparable;)Ljava/awt/Paint; 0.0, lineNumber=452, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.axis.CategoryAxis, methodName=org.jfree.chart.axis.CategoryAxis{getTickLabelPaint(Ljava/lang/Comparable;)Ljava/awt/Paint; 0.0, lineNumber=447, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.axis.CategoryAxis, methodName=org.jfree.chart.axis.CategoryAxis{getTickLabelFont(Ljava/lang/Comparable;)Ljava/awt/Font; 0.0, lineNumber=409, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.axis.CategoryAxis, methodName=org.jfree.chart.axis.CategoryAxis{getTickLabelFont(Ljava/lang/Comparable;)Ljava/awt/Font; 0.0, lineNumber=404, susp=7.987639060568603]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer, methodName=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer{drawRangeMarker(Ljava/awt/Graphics2D;Lorg/jfree/chart/plot/CategoryPlot;Lorg/jfree/chart/axis/ValueAxis;Lorg/jfree/chart/plot/Marker;Ljava/awt/geom/Rectangle2D;)V 0.0, lineNumber=1016, susp=7.987021013597033]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer, methodName=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer{drawRangeMarker(Ljava/awt/Graphics2D;Lorg/jfree/chart/plot/CategoryPlot;Lorg/jfree/chart/axis/ValueAxis;Lorg/jfree/chart/plot/Marker;Ljava/awt/geom/Rectangle2D;)V 0.0, lineNumber=1011, susp=7.987021013597033]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer, methodName=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer{drawRangeGridline(Ljava/awt/Graphics2D;Lorg/jfree/chart/plot/CategoryPlot;Lorg/jfree/chart/axis/ValueAxis;Ljava/awt/geom/Rectangle2D;D)V 0.0, lineNumber=898, susp=7.987021013597033]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer, methodName=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer{drawRangeGridline(Ljava/awt/Graphics2D;Lorg/jfree/chart/plot/CategoryPlot;Lorg/jfree/chart/axis/ValueAxis;Ljava/awt/geom/Rectangle2D;D)V 0.0, lineNumber=892, susp=7.987021013597033]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer, methodName=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer{drawRangeGridline(Ljava/awt/Graphics2D;Lorg/jfree/chart/plot/CategoryPlot;Lorg/jfree/chart/axis/ValueAxis;Ljava/awt/geom/Rectangle2D;D)V 0.0, lineNumber=882, susp=7.987021013597033]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer, methodName=org.jfree.chart.renderer.category.AbstractCategoryItemRenderer{drawRangeGridline(Ljava/awt/Graphics2D;Lorg/jfree/chart/plot/CategoryPlot;Lorg/jfree/chart/axis/ValueAxis;Ljava/awt/geom/Rectangle2D;D)V 0.0, lineNumber=875, susp=7.987021013597033]
kali-susp:Candidate [className=org.jfree.chart.axis.Axis, methodName=org.jfree.chart.axis.Axis{drawAxisLine(Ljava/awt/Graphics2D;DLjava/awt/geom/Rectangle2D;Lorg/jfree/chart/util/RectangleEdge;)V 0.0, lineNumber=1220, susp=7.987021013597033]
kali-susp:Candidate [className=org.jfree.chart.axis.Axis, methodName=org.jfree.chart.axis.Axis{drawAxisLine(Ljava/awt/Graphics2D;DLjava/awt/geom/Rectangle2D;Lorg/jfree/chart/util/RectangleEdge;)V 0.0, lineNumber=1216, susp=7.987021013597033]
kali-susp:Candidate [className=org.jfree.chart.axis.CategoryAxis, methodName=org.jfree.chart.axis.CategoryAxis{draw(Ljava/awt/Graphics2D;DLjava/awt/geom/Rectangle2D;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/util/RectangleEdge;Lorg/jfree/chart/plot/PlotRenderingInfo;)Lorg/jfree/chart/axis/AxisState; 0.0, lineNumber=820, susp=7.987021013597033]
kali-susp:Candidate [className=org.jfree.chart.axis.CategoryAxis, methodName=org.jfree.chart.axis.CategoryAxis{draw(Ljava/awt/Graphics2D;DLjava/awt/geom/Rectangle2D;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/util/RectangleEdge;Lorg/jfree/chart/plot/PlotRenderingInfo;)Lorg/jfree/chart/axis/AxisState; 0.0, lineNumber=816, susp=7.987021013597033]
kali-susp:Candidate [className=org.jfree.data.general.DatasetUtilities, methodName=org.jfree.data.general.DatasetUtilities{isEmptyOrNull(Lorg/jfree/data/category/CategoryDataset;)Z 0.0, lineNumber=576, susp=7.987021013597033]
kali-susp:Candidate [className=org.jfree.data.Range, methodName=org.jfree.data.Range{expandToInclude(Lorg/jfree/data/Range;D)Lorg/jfree/data/Range; 0.0, lineNumber=231, susp=7.985784919653893]
kali-susp:Candidate [className=org.jfree.data.Range, methodName=org.jfree.data.Range{expandToInclude(Lorg/jfree/data/Range;D)Lorg/jfree/data/Range; 0.0, lineNumber=228, susp=7.985784919653893]
kali-susp:Candidate [className=org.jfree.chart.plot.CategoryPlot, methodName=org.jfree.chart.plot.CategoryPlot{datasetsMappedToDomainAxis(I)Ljava/util/List; 0.0, lineNumber=3189, susp=7.985784919653893]
kali-susp:Candidate [className=org.jfree.chart.plot.CategoryPlot, methodName=org.jfree.chart.plot.CategoryPlot{datasetsMappedToDomainAxis(I)Ljava/util/List; 0.0, lineNumber=3182, susp=7.985784919653893]
kali-susp:Candidate [className=org.jfree.chart.plot.CategoryPlot, methodName=org.jfree.chart.plot.CategoryPlot{getLegendItems()Lorg/jfree/chart/LegendItemCollection; 0.0, lineNumber=1758, susp=7.985784919653893]
kali-susp:Candidate [className=org.jfree.chart.axis.CategoryAxis, methodName=org.jfree.chart.axis.CategoryAxis{calculateCategorySize(ILjava/awt/geom/Rectangle2D;Lorg/jfree/chart/util/RectangleEdge;)D 0.0, lineNumber=675, susp=7.985784919653893]
kali-susp:Candidate [className=org.jfree.chart.axis.CategoryAxis, methodName=org.jfree.chart.axis.CategoryAxis{calculateCategorySize(ILjava/awt/geom/Rectangle2D;Lorg/jfree/chart/util/RectangleEdge;)D 0.0, lineNumber=668, susp=7.985784919653893]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.BarRenderer, methodName=org.jfree.chart.renderer.category.BarRenderer{findRangeBounds(Lorg/jfree/data/category/CategoryDataset;)Lorg/jfree/data/Range; 0.0, lineNumber=642, susp=7.985166872682324]
kali-susp:Candidate [className=org.jfree.chart.axis.CategoryLabelPositions, methodName=org.jfree.chart.axis.CategoryLabelPositions{getLabelPosition(Lorg/jfree/chart/util/RectangleEdge;)Lorg/jfree/chart/axis/CategoryLabelPosition; 0.0, lineNumber=293, susp=7.985166872682324]
kali-susp:Candidate [className=org.jfree.chart.axis.CategoryLabelPositions, methodName=org.jfree.chart.axis.CategoryLabelPositions{getLabelPosition(Lorg/jfree/chart/util/RectangleEdge;)Lorg/jfree/chart/axis/CategoryLabelPosition; 0.0, lineNumber=290, susp=7.985166872682324]
kali-susp:Candidate [className=org.jfree.data.general.DatasetUtilities, methodName=org.jfree.data.general.DatasetUtilities{isEmptyOrNull(Lorg/jfree/data/category/CategoryDataset;)Z 0.0, lineNumber=570, susp=7.985166872682324]
kali-susp:Candidate [className=org.jfree.chart.plot.Plot, methodName=org.jfree.chart.plot.Plot{resolveRangeAxisLocation(Lorg/jfree/chart/axis/AxisLocation;Lorg/jfree/chart/plot/PlotOrientation;)Lorg/jfree/chart/util/RectangleEdge; 0.0, lineNumber=1386, susp=7.985166872682324]
kali-susp:Candidate [className=org.jfree.chart.plot.CategoryPlot, methodName=org.jfree.chart.plot.CategoryPlot{datasetsMappedToDomainAxis(I)Ljava/util/List; 0.0, lineNumber=3179, susp=7.985166872682324]
kali-susp:Candidate [className=org.jfree.chart.plot.CategoryPlot, methodName=org.jfree.chart.plot.CategoryPlot{drawRangeMarkers(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;ILorg/jfree/chart/util/Layer;)V 0.0, lineNumber=3049, susp=7.985166872682324]
kali-susp:Candidate [className=org.jfree.chart.plot.CategoryPlot, methodName=org.jfree.chart.plot.CategoryPlot{drawRangeMarkers(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;ILorg/jfree/chart/util/Layer;)V 0.0, lineNumber=3043, susp=7.985166872682324]
kali-susp:Candidate [className=org.jfree.chart.plot.CategoryPlot, methodName=org.jfree.chart.plot.CategoryPlot{drawDomainMarkers(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;ILorg/jfree/chart/util/Layer;)V 0.0, lineNumber=3018, susp=7.985166872682324]
kali-susp:Candidate [className=org.jfree.chart.plot.CategoryPlot, methodName=org.jfree.chart.plot.CategoryPlot{drawDomainMarkers(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;ILorg/jfree/chart/util/Layer;)V 0.0, lineNumber=3012, susp=7.985166872682324]
kali-susp:Candidate [className=org.jfree.chart.plot.CategoryPlot, methodName=org.jfree.chart.plot.CategoryPlot{drawRangeGridlines(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/util/List;)V 0.0, lineNumber=2967, susp=7.985166872682324]
kali-susp:Candidate [className=org.jfree.chart.plot.CategoryPlot, methodName=org.jfree.chart.plot.CategoryPlot{drawRangeGridlines(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/util/List;)V 0.0, lineNumber=2962, susp=7.985166872682324]
kali-susp:Candidate [className=org.jfree.chart.plot.CategoryPlot, methodName=org.jfree.chart.plot.CategoryPlot{drawRangeGridlines(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/util/List;)V 0.0, lineNumber=2960, susp=7.985166872682324]
kali-susp:Candidate [className=org.jfree.chart.plot.CategoryPlot, methodName=org.jfree.chart.plot.CategoryPlot{drawRangeGridlines(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/util/List;)V 0.0, lineNumber=2957, susp=7.985166872682324]
kali-susp:Candidate [className=org.jfree.chart.plot.CategoryPlot, methodName=org.jfree.chart.plot.CategoryPlot{drawDomainGridlines(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;)V 0.0, lineNumber=2917, susp=7.985166872682324]
kali-susp:Candidate [className=org.jfree.chart.plot.CategoryPlot, methodName=org.jfree.chart.plot.CategoryPlot{render(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;ILorg/jfree/chart/plot/PlotRenderingInfo;)Z 0.0, lineNumber=2855, susp=7.985166872682324]
