kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexSolver, methodName=org.apache.commons.math3.optimization.linear.SimplexSolver{getPivotRow(Lorg/apache/commons/math3/optimization/linear/SimplexTableau;I)Ljava/lang/Integer; 0.0, lineNumber=144, susp=0.999246798895305]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP, methodName=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP{solve(ILorg/apache/commons/math3/dfp/UnivariateDfpFunction;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/analysis/solvers/AllowedSolution;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=355, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP, methodName=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP{solve(ILorg/apache/commons/math3/dfp/UnivariateDfpFunction;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/analysis/solvers/AllowedSolution;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=346, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP, methodName=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP{solve(ILorg/apache/commons/math3/dfp/UnivariateDfpFunction;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/analysis/solvers/AllowedSolution;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=340, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP, methodName=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP{solve(ILorg/apache/commons/math3/dfp/UnivariateDfpFunction;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/analysis/solvers/AllowedSolution;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=330, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP, methodName=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP{solve(ILorg/apache/commons/math3/dfp/UnivariateDfpFunction;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/analysis/solvers/AllowedSolution;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=315, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP, methodName=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP{solve(ILorg/apache/commons/math3/dfp/UnivariateDfpFunction;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/analysis/solvers/AllowedSolution;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=309, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP, methodName=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP{solve(ILorg/apache/commons/math3/dfp/UnivariateDfpFunction;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/analysis/solvers/AllowedSolution;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=291, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP, methodName=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP{solve(ILorg/apache/commons/math3/dfp/UnivariateDfpFunction;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/analysis/solvers/AllowedSolution;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=288, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP, methodName=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP{solve(ILorg/apache/commons/math3/dfp/UnivariateDfpFunction;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/analysis/solvers/AllowedSolution;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=267, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP, methodName=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP{solve(ILorg/apache/commons/math3/dfp/UnivariateDfpFunction;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/analysis/solvers/AllowedSolution;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=234, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP, methodName=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP{solve(ILorg/apache/commons/math3/dfp/UnivariateDfpFunction;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/analysis/solvers/AllowedSolution;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=229, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP, methodName=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP{solve(ILorg/apache/commons/math3/dfp/UnivariateDfpFunction;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/analysis/solvers/AllowedSolution;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=218, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP, methodName=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP{solve(ILorg/apache/commons/math3/dfp/UnivariateDfpFunction;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/analysis/solvers/AllowedSolution;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=211, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP, methodName=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP{solve(ILorg/apache/commons/math3/dfp/UnivariateDfpFunction;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/analysis/solvers/AllowedSolution;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=203, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.transform.FastSineTransformer, methodName=org.apache.commons.math3.transform.FastSineTransformer{fst([D)[D 0.0, lineNumber=161, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.transform.FastSineTransformer, methodName=org.apache.commons.math3.transform.FastSineTransformer{fst([D)[D 0.0, lineNumber=155, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.transform.FastSineTransformer, methodName=org.apache.commons.math3.transform.FastSineTransformer{fst([D)[D 0.0, lineNumber=150, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.transform.FastSineTransformer, methodName=org.apache.commons.math3.transform.FastSineTransformer{transform([DLorg/apache/commons/math3/transform/TransformType;)[D 0.0, lineNumber=109, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.transform.FastSineTransformer, methodName=org.apache.commons.math3.transform.FastSineTransformer{transform([DLorg/apache/commons/math3/transform/TransformType;)[D 0.0, lineNumber=105, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.analysis.function.StepFunction, methodName=org.apache.commons.math3.analysis.function.StepFunction{value(D)D 0.0, lineNumber=87, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.analysis.function.StepFunction, methodName=org.apache.commons.math3.analysis.function.StepFunction{value(D)D 0.0, lineNumber=84, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.Dfp, methodName=org.apache.commons.math3.dfp.Dfp{nextAfter(Lorg/apache/commons/math3/dfp/Dfp;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=2381, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.Dfp, methodName=org.apache.commons.math3.dfp.Dfp{nextAfter(Lorg/apache/commons/math3/dfp/Dfp;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=2376, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.Dfp, methodName=org.apache.commons.math3.dfp.Dfp{nextAfter(Lorg/apache/commons/math3/dfp/Dfp;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=2369, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.Dfp, methodName=org.apache.commons.math3.dfp.Dfp{nextAfter(Lorg/apache/commons/math3/dfp/Dfp;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=2363, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.Dfp, methodName=org.apache.commons.math3.dfp.Dfp{nextAfter(Lorg/apache/commons/math3/dfp/Dfp;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=2353, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.Dfp, methodName=org.apache.commons.math3.dfp.Dfp{nextAfter(Lorg/apache/commons/math3/dfp/Dfp;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=2348, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.Dfp, methodName=org.apache.commons.math3.dfp.Dfp{nextAfter(Lorg/apache/commons/math3/dfp/Dfp;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=2342, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.Dfp, methodName=org.apache.commons.math3.dfp.Dfp{nextAfter(Lorg/apache/commons/math3/dfp/Dfp;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=2338, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.Dfp, methodName=org.apache.commons.math3.dfp.Dfp{nextAfter(Lorg/apache/commons/math3/dfp/Dfp;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=2334, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.Dfp, methodName=org.apache.commons.math3.dfp.Dfp{nextAfter(Lorg/apache/commons/math3/dfp/Dfp;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=2325, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.Dfp, methodName=org.apache.commons.math3.dfp.Dfp{isZero()Z 0.0, lineNumber=887, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.Dfp, methodName=org.apache.commons.math3.dfp.Dfp{multiply(I)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=1617, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.Dfp, methodName=org.apache.commons.math3.dfp.Dfp{multiply(I)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=1612, susp=0.0]
